Datum;Wochentag;O MITTE;O MITTE;O SUED;O SUED;R MITTE 2;R MITTE 2;R NORD;R NORD;SWAN C;SWAN D;R MITTE 1;R SUED;N MITTE;Q SUED;SAHLI 1 OG;SAHLI 1 OG;SAHLI 2 OG;SAHLI 2 OG;ONKP;ONKP;ROST;IMC BHH E;IB BLAU;IB GRUEN;IB GELB;H SUED 1;H SUED 2;H Nord 1+2 inkl IMC;H Nord 1+2 inkl Vis.NF;H Nord 1+2 inkl H VNBS;Q NORD;P IMC;N SUED;LORY EG WEST;L STROKE;HEPC;GASC;VCHC;VMCP;GAST;HINF;AIMA;71 OST 1;62 STATION A;Reha 1 Belp;Reha 2 Belp;64 Geri 1;64 Geri 2;EG Ost;71 Mitte 1;71 IPS;G IMC;G NORD;G MITTE ;G SUED;N NORD;O NORD;K MITTE;LO G 2;ASH 1 OG;ASH 2 OG;Plastische Handchirurgie;Orthopädie;Pneumologie  Thoraxchirurgie;Dermatologie;Neurochirurgie;Neurologie;Urologie;Kardiologie;Kinderklinik;Chronische Dialyse;Frauenklinik;Viszeralchirurgie H Nord;Tiefenau: Chirurgie (West Parterre);Tiefenau: Innere Medizin (West 1, Mitte 2, West2);Aarberg;Münsingen;Belp Gerireha 1;Riggisberg;IB Tiefenau;Münsingen A;Münsingen B;Tiefenau Mitte P;Tiefenau Ost 1;Tiefenau Ost 2;Tiefenau Mitte 1;Belp Geri 1;Belp Geri 2;Onkologie;Lory West;Münsingen A
01.01.2018;Montag;;E;;E;;E;;E;;;;;;;W;E;W;E;;A;A;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
02.01.2018;Dienstag;W;E;W;E;W;E;W;E;;;;;;;;E;;E;;A;A;;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
03.01.2018;Mittwoch;;E;;E;;E;;E;;;;;;;;E;;E;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
04.01.2018;Donnerstag;;E;;E;;E;;E;;;;;;;;E;;E;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
05.01.2018;Freitag;;E;;E;;E;;E;;;;;;;;E;;E;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
06.01.2018;Samstag;;E;;E;;E;;E;;;;;;;;E;;E;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
07.01.2018;Sonntag;;E;;E;;E;;E;;;;;;;;E;;E;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
08.01.2018;Montag;;E;;E;;E;;E;;;;;;;W;E;W;E;;A;A;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
09.01.2018;Dienstag;W;E;W;E;W;E;W;E;U;;U;U;;;;E;;E;;A;A;;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
10.01.2018;Mittwoch;;E;;E;;E;;E;;;;;U;;;E;;E;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;
